"GAME_ID","GAME_DATE","SEASON_TYPE","MATCHUP","HOME_TEAM","AWAY_TEAM","HOME_PTS","AWAY_PTS","nh","j3210","j45"
"0020800075",2008-11-07,"Regular Season","MIN @ SAC","Sacramento Kings","Minnesota Timberwolves",121,109,"j3210",2,4
"0020800075",2008-11-07,"Regular Season","MIN @ SAC","Sacramento Kings","Minnesota Timberwolves",121,109,"j45",10,-4
"0020800077",2008-11-07,"Regular Season","MEM @ GSW","Golden State Warriors","Memphis Grizzlies",104,109,"j3210",-2,7
"0020800077",2008-11-07,"Regular Season","MEM @ GSW","Golden State Warriors","Memphis Grizzlies",104,109,"j45",5,-13
"0020800078",2008-11-07,"Regular Season","HOU @ LAC","Los Angeles Clippers","Houston Rockets",83,92,"j3210",-4,-2
"0020800078",2008-11-07,"Regular Season","HOU @ LAC","Los Angeles Clippers","Houston Rockets",83,92,"j45",6,-9
"0020800079",2008-11-08,"Regular Season","NJN @ IND","Indiana Pacers","New Jersey Nets",98,80,"j3210",4,0
"0020800079",2008-11-08,"Regular Season","NJN @ IND","Indiana Pacers","New Jersey Nets",98,80,"j45",7,7
"0020800081",2008-11-08,"Regular Season","MIA @ NOH","New Orleans Hornets","Miami Heat",100,89,"j3210",4,-6
"0020800081",2008-11-08,"Regular Season","MIA @ NOH","New Orleans Hornets","Miami Heat",100,89,"j45",-6,19
"0020800084",2008-11-08,"Regular Season","MIN @ POR","Portland Trail Blazers","Minnesota Timberwolves",97,93,"j3210",1,7
"0020800084",2008-11-08,"Regular Season","MIN @ POR","Portland Trail Blazers","Minnesota Timberwolves",97,93,"j45",-1,-3
"0020800085",2008-11-09,"Regular Season","TOR @ CHA","Charlotte Bobcats","Toronto Raptors",79,89,"j3210",9,-1
"0020800085",2008-11-09,"Regular Season","TOR @ CHA","Charlotte Bobcats","Toronto Raptors",79,89,"j45",-1,-17
"0020800086",2008-11-09,"Regular Season","UTA @ NYK","New York Knicks","Utah Jazz",107,99,"j3210",-2,1
"0020800086",2008-11-09,"Regular Season","UTA @ NYK","New York Knicks","Utah Jazz",107,99,"j45",6,3
"0020800087",2008-11-09,"Regular Season","DAL @ LAC","Los Angeles Clippers","Dallas Mavericks",103,92,"j3210",7,-3
"0020800087",2008-11-09,"Regular Season","DAL @ LAC","Los Angeles Clippers","Dallas Mavericks",103,92,"j45",-4,11
"0020800089",2008-11-09,"Regular Season","ATL @ OKC","Oklahoma City Thunder","Atlanta Hawks",85,89,"j3210",9,-8
"0020800089",2008-11-09,"Regular Season","ATL @ OKC","Oklahoma City Thunder","Atlanta Hawks",85,89,"j45",0,-5
"0020800090",2008-11-09,"Regular Season","MEM @ DEN","Denver Nuggets","Memphis Grizzlies",100,90,"j3210",-9,5
"0020800090",2008-11-09,"Regular Season","MEM @ DEN","Denver Nuggets","Memphis Grizzlies",100,90,"j45",9,5
"0020800091",2008-11-09,"Regular Season","GSW @ SAC","Sacramento Kings","Golden State Warriors",115,98,"j3210",8,1
"0020800091",2008-11-09,"Regular Season","GSW @ SAC","Sacramento Kings","Golden State Warriors",115,98,"j45",0,8
"0020800093",2008-11-10,"Regular Season","OKC @ IND","Indiana Pacers","Oklahoma City Thunder",107,99,"j3210",-8,5
"0020800093",2008-11-10,"Regular Season","OKC @ IND","Indiana Pacers","Oklahoma City Thunder",107,99,"j45",7,4
"0020800094",2008-11-10,"Regular Season","POR @ ORL","Orlando Magic","Portland Trail Blazers",99,106,"j3210",-17,-7
"0020800094",2008-11-10,"Regular Season","POR @ ORL","Orlando Magic","Portland Trail Blazers",99,106,"j45",12,5
"0020800095",2008-11-10,"Regular Season","TOR @ BOS","Boston Celtics","Toronto Raptors",94,87,"j3210",-9,1
"0020800095",2008-11-10,"Regular Season","TOR @ BOS","Boston Celtics","Toronto Raptors",94,87,"j45",6,9
"0020800096",2008-11-10,"Regular Season","NJN @ MIA","Miami Heat","New Jersey Nets",99,94,"j3210",1,12
